ACCELERATION X,ACCELERATION Y,ACCELERATION Z,LINEAR_ACCELERATION X,LINEAR_ACCELERATION Y,LINEAR_ACCELERATION Z,GRAVITY X,GRAVITY Y,GRAVITY Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,Year,Month,Day,Hour,Minute,Second,Millisecond,Date
28.025328,-17.634792,-7.843704,28.025328,-17.634792,-7.843704,-8.437615,1.518971,4.761468,0.343121,0.978229,-0.147117,2014,10,8,14,36,35,0,2014-10-08 14:36:35:415
28.025328,-17.634792,-7.843704,28.025328,-17.634792,-7.843704,-8.437615,1.518971,4.761468,0.812902,5.607868,-7.776541,2014,10,8,14,36,35,0,2014-10-08 14:36:35:605
9.422530,-19.525164,-2.648885,28.025328,-17.634792,-7.843704,-8.437615,1.518971,4.761468,0.812902,5.607868,-7.776541,2014,10,8,14,36,35,0,2014-10-08 14:36:35:607
9.422530,-19.525164,-2.648885,16.943167,-13.232903,-2.512415,-8.437615,1.518971,4.761468,0.812902,5.607868,-7.776541,2014,10,8,14,36,35,0,2014-10-08 14:36:35:609
16.943167,-13.232903,-2.512415,16.943167,-13.232903,-2.512415,-7.520637,-6.292261,-0.136469,0.812902,5.607868,-7.776541,2014,10,8,14,36,35,0,2014-10-08 14:36:35:611
16.943167,-13.232903,-2.512415,16.943167,-13.232903,-2.512415,-7.520637,-6.292261,-0.136469,1.975100,5.311727,-5.048398,2014,10,8,14,36,35,0,2014-10-08 14:36:35:804
-4.284274,-8.897303,-8.184279,16.943167,-13.232903,-2.512415,-7.520637,-6.292261,-0.136469,1.975100,5.311727,-5.048398,2014,10,8,14,36,35,0,2014-10-08 14:36:35:806
-4.284274,-8.897303,-8.184279,-9.917382,-1.749114,-11.836783,-7.520637,-6.292261,-0.136469,1.975100,5.311727,-5.048398,2014,10,8,14,36,35,0,2014-10-08 14:36:35:807
-9.917382,-1.749114,-11.836783,-9.917382,-1.749114,-11.836783,5.633108,-7.148189,3.652504,1.975100,5.311727,-5.048398,2014,10,8,14,36,35,0,2014-10-08 14:36:35:809
-9.917382,-1.749114,-11.836783,-9.917382,-1.749114,-11.836783,5.633108,-7.148189,3.652504,-2.683301,-0.856154,0.039305,2014,10,8,14,36,36,0,2014-10-08 14:36:36:4
19.587713,-19.525164,-0.417489,-9.917382,-1.749114,-11.836783,5.633108,-7.148189,3.652504,-2.683301,-0.856154,0.039305,2014,10,8,14,36,36,0,2014-10-08 14:36:36:5
19.587713,-19.525164,-0.417489,14.222157,-14.302362,-6.750153,5.633108,-7.148189,3.652504,-2.683301,-0.856154,0.039305,2014,10,8,14,36,36,0,2014-10-08 14:36:36:8
14.222157,-14.302362,-6.750153,14.222157,-14.302362,-6.750153,5.365556,-5.222801,6.332664,-2.683301,-0.856154,0.039305,2014,10,8,14,36,36,0,2014-10-08 14:36:36:10
14.222157,-14.302362,-6.750153,14.222157,-14.302362,-6.750153,5.365556,-5.222801,6.332664,-1.543468,-6.747066,5.525417,2014,10,8,14,36,36,0,2014-10-08 14:36:36:205
8.821586,-5.803994,3.554492,14.222157,-14.302362,-6.750153,5.365556,-5.222801,6.332664,-1.543468,-6.747066,5.525417,2014,10,8,14,36,36,0,2014-10-08 14:36:36:207
8.821586,-5.803994,3.554492,5.317223,3.089418,5.745037,5.365556,-5.222801,6.332664,-1.543468,-6.747066,5.525417,2014,10,8,14,36,36,0,2014-10-08 14:36:36:210
5.317223,3.089418,5.745037,5.317223,3.089418,5.745037,3.504363,-8.893412,-2.190545,-1.543468,-6.747066,5.525417,2014,10,8,14,36,36,0,2014-10-08 14:36:36:213
5.317223,3.089418,5.745037,5.317223,3.089418,5.745037,3.504363,-8.893412,-2.190545,1.203892,-3.732381,5.130198,2014,10,8,14,36,36,0,2014-10-08 14:36:36:403
3.152116,4.706552,0.904110,5.317223,3.089418,5.745037,3.504363,-8.893412,-2.190545,1.203892,-3.732381,5.130198,2014,10,8,14,36,36,0,2014-10-08 14:36:36:405
3.152116,4.706552,0.904110,12.454188,7.040898,-1.143830,3.504363,-8.893412,-2.190545,1.203892,-3.732381,5.130198,2014,10,8,14,36,36,0,2014-10-08 14:36:36:407
12.454188,7.040898,-1.143830,12.454188,7.040898,-1.143830,-9.302073,-2.334347,2.047940,1.203892,-3.732381,5.130198,2014,10,8,14,36,36,0,2014-10-08 14:36:36:415
12.454188,7.040898,-1.143830,12.454188,7.040898,-1.143830,-9.302073,-2.334347,2.047940,5.319008,1.532155,-4.611645,2014,10,8,14,36,36,0,2014-10-08 14:36:36:605
19.415928,-19.525164,6.173748,12.454188,7.040898,-1.143830,-9.302073,-2.334347,2.047940,5.319008,1.532155,-4.611645,2014,10,8,14,36,36,0,2014-10-08 14:36:36:607
19.415928,-19.525164,6.173748,28.864346,-19.167082,3.571401,-9.302073,-2.334347,2.047940,5.319008,1.532155,-4.611645,2014,10,8,14,36,36,0,2014-10-08 14:36:36:610
28.864346,-19.167082,3.571401,28.864346,-19.167082,3.571401,-9.448418,-0.358083,2.602348,5.319008,1.532155,-4.611645,2014,10,8,14,36,36,0,2014-10-08 14:36:36:612
28.864346,-19.167082,3.571401,28.864346,-19.167082,3.571401,-9.448418,-0.358083,2.602348,-3.972228,0.957978,-8.181346,2014,10,8,14,36,36,0,2014-10-08 14:36:36:803
-3.228431,-13.273903,-7.037457,28.864346,-19.167082,3.571401,-9.448418,-0.358083,2.602348,-3.972228,0.957978,-8.181346,2014,10,8,14,36,36,0,2014-10-08 14:36:36:805
-3.228431,-13.273903,-7.037457,-5.000889,-3.944447,-9.484929,-9.448418,-0.358083,2.602348,-3.972228,0.957978,-8.181346,2014,10,8,14,36,36,0,2014-10-08 14:36:36:807
-5.000889,-3.944447,-9.484929,-5.000889,-3.944447,-9.484929,1.772457,-9.329455,2.447473,-3.972228,0.957978,-8.181346,2014,10,8,14,36,36,0,2014-10-08 14:36:36:816
-5.000889,-3.944447,-9.484929,-5.000889,-3.944447,-9.484929,1.772457,-9.329455,2.447473,-1.822508,3.996107,-2.015597,2014,10,8,14,36,37,0,2014-10-08 14:36:37:2
0.504129,-19.525164,-3.436577,-5.000889,-3.944447,-9.484929,1.772457,-9.329455,2.447473,-1.822508,3.996107,-2.015597,2014,10,8,14,36,37,0,2014-10-08 14:36:37:4
0.504129,-19.525164,-3.436577,-7.200861,-14.997579,-7.474399,1.772457,-9.329455,2.447473,-1.822508,3.996107,-2.015597,2014,10,8,14,36,37,0,2014-10-08 14:36:37:7
-7.200861,-14.997579,-7.474399,-7.200861,-14.997579,-7.474399,1.772457,-9.329455,2.447473,-4.826553,-1.109705,1.224937,2014,10,8,14,36,37,0,2014-10-08 14:36:37:208
9.338734,-15.119833,2.304718,-7.200861,-14.997579,-7.474399,1.772457,-9.329455,2.447473,-4.826553,-1.109705,1.224937,2014,10,8,14,36,37,0,2014-10-08 14:36:37:209
9.338734,-15.119833,2.304718,3.219603,-7.460332,2.548029,1.772457,-9.329455,2.447473,-4.826553,-1.109705,1.224937,2014,10,8,14,36,37,0,2014-10-08 14:36:37:211
3.219603,-7.460332,2.548029,3.219603,-7.460332,2.548029,6.119131,-7.659500,-0.243311,-4.826553,-1.109705,1.224937,2014,10,8,14,36,37,0,2014-10-08 14:36:37:213
3.219603,-7.460332,2.548029,3.219603,-7.460332,2.548029,6.119131,-7.659500,-0.243311,0.409221,-6.547880,5.117413,2014,10,8,14,36,37,0,2014-10-08 14:36:37:402
6.245425,-0.962918,1.145925,3.219603,-7.460332,2.548029,6.119131,-7.659500,-0.243311,0.409221,-6.547880,5.117413,2014,10,8,14,36,37,0,2014-10-08 14:36:37:404
