ACCELERATION X,ACCELERATION Y,ACCELERATION Z,LINEAR_ACCELERATION X,LINEAR_ACCELERATION Y,LINEAR_ACCELERATION Z,GRAVITY X,GRAVITY Y,GRAVITY Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,Year,Month,Day,Hour,Minute,Second,Millisecond,Date
0.080355,0.090980,9.896732,0.011223,-0.006434,0.090830,0.069133,0.097414,9.805902,-0.000270,-0.000310,-0.000312,2014,10,13,16,28,9,21,2014-10-13 16:28:09:21,
0.058808,0.081403,9.920674,-0.014066,-0.013168,0.114772,0.072874,0.094571,9.805902,-0.000308,-0.000300,-0.001374,2014,10,13,16,28,9,540,2014-10-13 16:28:09:540,
0.080355,0.138864,9.884761,0.009876,0.047884,0.078859,0.070479,0.090980,9.805902,-0.001373,-0.001365,-0.000309,2014,10,13,16,28,10,59,2014-10-13 16:28:10:59,
0.082750,0.098162,9.798570,0.009876,0.001945,-0.007332,0.072874,0.096217,9.805902,-0.001361,0.000762,0.001821,2014,10,13,16,28,10,576,2014-10-13 16:28:10:576,
0.082750,0.107739,9.968558,0.009726,0.014664,0.162656,0.073023,0.093075,9.805902,-0.001361,-0.001369,-0.000310,2014,10,13,16,28,11,95,2014-10-13 16:28:11:95,
0.077961,0.150835,9.884761,0.005088,0.059556,0.078859,0.072874,0.091279,9.805902,0.000776,-0.002436,-0.000311,2014,10,13,16,28,11,614,2014-10-13 16:28:11:614,
0.049231,0.114922,9.884761,-0.026486,0.017059,0.079009,0.075717,0.097863,9.805753,0.000776,-0.000305,0.000755,2014,10,13,16,28,12,133,2014-10-13 16:28:12:133,
0.082750,0.134075,9.870396,0.011522,0.036362,0.064494,0.071227,0.097713,9.805902,-0.001361,-0.003499,-0.001375,2014,10,13,16,28,12,653,2014-10-13 16:28:12:653,
0.075567,0.124498,9.930251,0.001347,0.024541,0.124498,0.074220,0.099958,9.805753,-0.001361,-0.001369,-0.000310,2014,10,13,16,28,13,171,2014-10-13 16:28:13:171,
0.111480,0.122104,9.882367,0.036960,0.020949,0.076614,0.074520,0.101155,9.805753,0.000826,-0.002449,-0.000314,2014,10,13,16,28,13,689,2014-10-13 16:28:13:689,
0.097115,0.150835,9.963770,0.017208,0.049380,0.158017,0.079906,0.101454,9.805753,-0.000239,-0.002449,-0.000314,2014,10,13,16,28,14,210,2014-10-13 16:28:14:210,
0.077961,0.146046,9.963770,-0.004339,0.039205,0.158167,0.082301,0.106841,9.805603,0.000801,0.002884,0.000753,2014,10,13,16,28,14,728,2014-10-13 16:28:14:728,
0.075567,0.105345,9.872790,-0.005836,-0.006285,0.067187,0.081403,0.111630,9.805603,-0.002394,0.000753,0.000753,2014,10,13,16,28,15,247,2014-10-13 16:28:15:247,
0.015712,0.105345,9.889549,-0.064793,-0.001646,0.083947,0.080505,0.106991,9.805603,-0.029076,-0.034387,0.008213,2014,10,13,16,28,15,766,2014-10-13 16:28:15:766,
0.113874,5.051765,8.508095,0.038756,4.948216,-1.297657,0.075118,0.103549,9.805753,-0.082339,-0.105760,-0.193122,2014,10,13,16,28,16,381,2014-10-13 16:28:16:381,
-4.064008,5.078102,-2.284966,-1.775749,-0.958130,-9.667188,-2.288258,6.036232,7.382222,4.042427,-3.628606,2.336877,2014,10,13,16,28,16,884,2014-10-13 16:28:16:884,
9.101707,12.480973,7.598299,14.055310,4.299837,9.766547,-4.953603,8.181137,-2.168249,-12.156021,10.785498,5.049043,2014,10,13,16,28,17,391,2014-10-13 16:28:17:391,
4.222324,-0.342371,8.761880,0.423026,-9.257629,7.260866,3.799299,8.915259,1.501015,-2.905265,0.462020,-1.109251,2014,10,13,16,28,17,896,2014-10-13 16:28:17:896,
1.275062,1.829170,8.603863,-2.741511,4.966772,0.225803,4.016572,-3.137601,8.378060,-0.833501,1.264211,-0.563822,2014,10,13,16,28,18,444,2014-10-13 16:28:18:444,
1.854459,6.622362,9.429863,-0.808043,3.555838,0.503680,2.662502,3.066524,8.926183,0.667457,0.597356,0.193581,2014,10,13,16,28,18,952,2014-10-13 16:28:18:952,
2.290204,-1.323994,9.566332,0.292392,-7.291392,2.045247,1.997812,5.967398,7.521085,0.217703,3.089067,0.900932,2014,10,13,16,28,19,456,2014-10-13 16:28:19:456,
5.263802,-2.461239,0.118812,1.559972,-1.756147,-8.933964,3.703830,-0.705092,9.052776,7.692663,-2.353369,-7.918392,2014,10,13,16,28,19,959,2014-10-13 16:28:19:959,
5.598990,-8.367735,3.195361,-3.295918,-12.264149,1.829469,8.894908,3.896414,1.365892,11.413589,-7.727617,6.373199,2014,10,13,16,28,20,480,2014-10-13 16:28:20:480,
5.795315,-7.283162,-15.175348,-0.516399,-7.605930,-22.673838,6.311714,0.322768,7.498490,-13.336765,3.143407,1.829846,2014,10,13,16,28,20,983,2014-10-13 16:28:20:983,
3.046771,-5.544971,10.346842,-5.307197,-5.413290,15.481358,8.353969,-0.131681,-5.134515,7.733043,-6.333170,-0.241024,2014,10,13,16,28,21,493,2014-10-13 16:28:21:493,
5.919813,-2.140416,3.789124,-1.569100,0.850989,-1.791013,7.488913,-2.991405,5.580136,-5.127894,2.609725,-2.871162,2014,10,13,16,28,21,996,2014-10-13 16:28:21:996,
5.831228,3.344700,-19.548956,-2.008735,4.429423,-25.339333,7.839963,-1.084723,5.790377,1.488463,-2.557873,-4.391294,2014,10,13,16,28,22,498,2014-10-13 16:28:22:498,
9.140015,-5.384560,11.484088,1.036839,-8.186075,16.244360,8.103176,2.801515,-4.760272,9.749589,-2.210597,3.672757,2014,10,13,16,28,23,1,2014-10-13 16:28:23:01,
-0.135123,-14.367604,18.446426,-6.404938,-12.716952,11.088895,6.269816,-1.650652,7.357532,-17.191988,3.742094,2.146231,2014,10,13,16,28,23,503,2014-10-13 16:28:23:503,
-2.378490,-19.555840,6.166566,-8.354567,-16.327408,-0.906804,5.976077,-3.228431,7.073370,-21.127077,7.049740,-1.995517,2014,10,13,16,28,24,7,2014-10-13 16:28:24:07,
6.518364,5.377377,-14.481030,0.995240,7.686734,-22.248268,5.523124,-2.309357,7.767239,-12.887343,3.510955,2.331594,2014,10,13,16,28,24,587,2014-10-13 16:28:24:587,
8.060229,-12.457031,0.018256,0.263661,-18.135180,-1.753902,7.796568,5.678149,1.772158,15.327250,2.984715,-1.688714,2014,10,13,16,28,25,90,2014-10-13 16:28:25:90,
7.028329,5.398925,-4.988020,-1.746869,4.138078,-9.180118,8.775198,1.260846,4.192098,5.707975,-5.087876,-2.350248,2014,10,13,16,28,25,593,2014-10-13 16:28:25:593,
6.317251,7.975086,1.521814,-1.746869,4.138078,-9.180118,8.775198,1.260846,4.192098,-4.152112,1.637138,-0.536103,2014,10,13,16,28,26,96,2014-10-13 16:28:26:96,
6.884676,6.931214,5.364508,0.793379,2.329858,-0.791134,6.091298,4.601357,6.155642,-1.072507,0.917040,-1.178451,2014,10,13,16,28,26,599,2014-10-13 16:28:26:599,
2.079514,8.355764,-9.465178,-4.783166,1.924788,-12.242600,6.862680,6.430975,2.777424,-9.582905,3.124268,2.589389,2014,10,13,16,28,27,108,2014-10-13 16:28:27:108,
3.384354,9.811439,-11.002254,-2.808249,2.917485,-14.210784,6.192603,6.893954,3.208529,-8.162883,1.149261,2.519079,2014,10,13,16,28,27,611,2014-10-13 16:28:27:611,
1.378013,10.544065,-7.317578,-4.548684,3.082684,-9.635015,5.926697,7.461380,2.317438,6.969199,-2.405527,-1.759022,2014,10,13,16,28,28,122,2014-10-13 16:28:28:122,
3.094655,-9.708488,14.747385,-1.681777,-17.515381,11.225215,4.776433,7.806893,3.522170,13.358561,-4.348544,-3.292996,2014,10,13,16,28,28,626,2014-10-13 16:28:28:626,
-12.620885,-11.451467,19.677046,-17.321751,-12.520179,11.137228,4.700865,1.068712,8.539818,-10.558756,3.400190,1.542239,2014,10,13,16,28,29,136,2014-10-13 16:28:29:136,
8.074594,-0.519542,-1.178845,4.123264,1.724723,-9.869049,3.951331,-2.244265,8.690204,-14.654635,3.407630,3.145458,2014,10,13,16,28,29,640,2014-10-13 16:28:29:640,
